name,parent,path,openingDate,id,level,closedDate
Lopur Dispensary (Turkana South),"{'name': 'Katilu Ward', 'id': 'XtEn1yMSsKf'}",/HfVjCurKxh2/kphDeKClFch/iTw0sFjlqZ2/XtEn1yMSsKf/JUsZAXljGuM,1970-01-01T00:00:00.000,JUsZAXljGuM,5,
Lopur Ward,"{'name': 'Turkana West Sub County', 'id': 'HK5SUCMQmsw'}",/HfVjCurKxh2/kphDeKClFch/HK5SUCMQmsw/Mdegig3qDW9,1970-01-01T00:00:00.000,Mdegig3qDW9,4,
Lopusiki Community Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/lUjmIUZEPFb,2017-01-23T00:00:00.000,lUjmIUZEPFb,5,
Lopuski Dispensary,"{'name': 'Lopur Ward', 'id': 'Mdegig3qDW9'}",/HfVjCurKxh2/kphDeKClFch/HK5SUCMQmsw/Mdegig3qDW9/vB3Pi52o40v,1970-01-01T00:00:00.000,vB3Pi52o40v,5,
Lopwarin Community Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/IsBc5ramliq,2016-08-01T00:00:00.000,IsBc5ramliq,5,
Lord of Mercy Clinic,"{'name': 'Naromoru/Kiamathaga Ward', 'id': 'REFeM2dROq3'}",/HfVjCurKxh2/ptWVfaCIdVx/YXt5ETQPRlB/REFeM2dROq3/tMzgdQ33dnn,1970-01-01T00:00:00.000,tMzgdQ33dnn,5,
Loreigns Medical Services (Kasarani),"{'name': 'Kariobangi South Ward', 'id': 'WJ020FJI9yB'}",/HfVjCurKxh2/jkG3zaihdSs/aCwUX5V42Zz/WJ020FJI9yB/dbzzeY2NzaX,1970-01-01T00:00:00.000,dbzzeY2NzaX,5,
Loremet Commmunity Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/gow83FJBM9c,2016-07-04T00:00:00.000,gow83FJBM9c,5,
Loreng Community Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/lY18Qp3zJw3,2016-09-05T00:00:00.000,lY18Qp3zJw3,5,
Loreng Dispensary,"{'name': 'Letea Ward', 'id': 'be0Y1B0phrY'}",/HfVjCurKxh2/kphDeKClFch/HK5SUCMQmsw/be0Y1B0phrY/lqY4hBmmFxS,1970-01-01T00:00:00.000,lqY4hBmmFxS,5,
Lorengelup Community Health,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/Jlzt0M1N1M1,1899-12-30T23:27:16.000,Jlzt0M1N1M1,5,
Lorengelup Dispensary,"{'name': 'Kerio Delta Ward', 'id': 'zwhTzysKfKc'}",/HfVjCurKxh2/kphDeKClFch/zd8rhYqGowE/zwhTzysKfKc/Jg3IPSyjXLg,1970-01-01T00:00:00.000,Jg3IPSyjXLg,5,
Loreng Esinyen Community Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/ThyriSlLq1l,2014-01-15T00:00:00.000,ThyriSlLq1l,5,
Lorengippi community unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/dN33WsjM8nO,2016-06-15T00:00:00.000,dN33WsjM8nO,5,
Lorengippi Dispensary,"{'name': 'Lokiriama/Lorengippi Ward', 'id': 'eQng6vyva8H'}",/HfVjCurKxh2/kphDeKClFch/OZiGQn2R8kK/eQng6vyva8H/Hiu4zb7B2EF,1970-01-01T00:00:00.000,Hiu4zb7B2EF,5,
Lorengippi Dispensary,"{'name': 'Lokiriama/Lorengippi Ward', 'id': 'eQng6vyva8H'}",/HfVjCurKxh2/kphDeKClFch/OZiGQn2R8kK/eQng6vyva8H/zK3uQzCz0yo,1970-01-01T00:00:00.000,zK3uQzCz0yo,5,
Lorenziino Dispensary,"{'name': 'Kamara Ward', 'id': 'lkMaj1oAFk0'}",/HfVjCurKxh2/ob6SxuRcqU4/QBwORnYdu0e/lkMaj1oAFk0/MzfQafEGVji,1970-01-01T00:00:00.000,MzfQafEGVji,5,
Lorgoswa Cu,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/sKqhk67oNDD,2016-07-26T00:00:00.000,sKqhk67oNDD,5,
Lorien Dispensary,"{'name': 'Rumuruti Township Ward', 'id': 'JoGNwQRLIWT'}",/HfVjCurKxh2/xuFdFy6t9AH/pXbWrnFPpKb/JoGNwQRLIWT/Q0RZ7w5rgnv,1970-01-01T00:00:00.000,Q0RZ7w5rgnv,5,
Lorngoswa Dispensary,"{'name': 'Matapato North Ward', 'id': 'quFXokobrnW'}",/HfVjCurKxh2/Hsk1YV8kHkT/SZapM1R0Kti/quFXokobrnW/hNV2L5zVBAE,1970-01-01T00:00:00.000,hNV2L5zVBAE,5,
Lorogon Dispensary,"{'name': 'Kaputir Ward', 'id': 'AR58QjsFekn'}",/HfVjCurKxh2/kphDeKClFch/iTw0sFjlqZ2/AR58QjsFekn/eZ7FsgXkAsT,1970-01-01T00:00:00.000,eZ7FsgXkAsT,5,
Loroo dispensary,"{'name': 'Turkwel Ward', 'id': 'vpERRHtFCWg'}",/HfVjCurKxh2/kphDeKClFch/OZiGQn2R8kK/vpERRHtFCWg/Dcp79Dp1H26,1970-01-01T00:00:00.000,Dcp79Dp1H26,5,
Loropil Dispensary,"{'name': 'Iichamus Ward', 'id': 'zI7CuvCQcos'}",/HfVjCurKxh2/vvOK1BxTbet/dSLnPmNlm8Q/zI7CuvCQcos/LCFDcd88H7m,1970-01-01T00:00:00.000,LCFDcd88H7m,5,
Lorrok Onyikie Dispensary,"{'name': 'El-barta Ward', 'id': 'x8gYdLEuy5Y'}",/HfVjCurKxh2/o36zCRjSd4G/E2DGjZRlwbY/x8gYdLEuy5Y/mR4jQEcLFbT,1970-01-01T00:00:00.000,mR4jQEcLFbT,5,
Lorubae Community Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/nZ025CC4XKI,2016-11-28T00:00:00.000,nZ025CC4XKI,5,
Lorugum Community Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/A5zDVtPxXfX,1899-12-26T23:27:16.000,A5zDVtPxXfX,5,
Lorugum Community Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/fCO95P853LN,2016-07-15T00:00:00.000,fCO95P853LN,5,
Lorugum Health Centre,"{'name': 'Turkwel Ward', 'id': 'vpERRHtFCWg'}",/HfVjCurKxh2/kphDeKClFch/OZiGQn2R8kK/vpERRHtFCWg/bVBxAFZAt0P,1970-01-01T00:00:00.000,bVBxAFZAt0P,5,
Loruk Dispensary (East Pokot),"{'name': 'Loiyamorok Ward', 'id': 'A7kJTCLxqNq'}",/HfVjCurKxh2/vvOK1BxTbet/Mk4bMOSMRTB/A7kJTCLxqNq/kUVH2XUzrvY,1970-01-01T00:00:00.000,kUVH2XUzrvY,5,
Loruth Dispensary,"{'name': 'Kibish Ward', 'id': 'dRuMh3lozxY'}",/HfVjCurKxh2/kphDeKClFch/AXNntZ7T30a/dRuMh3lozxY/IvRuPmQulMn,1970-01-01T00:00:00.000,IvRuPmQulMn,5,
Loruth Esekon  Community Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/s73on2OAtnI,1899-12-21T23:27:16.000,s73on2OAtnI,5,
Losajait Communuty Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/Sy1R5XLBiQ2,2016-09-05T00:00:00.000,Sy1R5XLBiQ2,5,
