name,aggregationType,valueType,id,code
AHD TB LAM Pos,SUM,INTEGER_ZERO_OR_POSITIVE,mQBSJXe5Kl4,
AHD TB Pos,SUM,INTEGER_ZERO_OR_POSITIVE,tFKZYYST5Gn,
AHD TB Smear,SUM,INTEGER_ZERO_OR_POSITIVE,wuMYTmjHEzD,
AHD TB Xray,SUM,INTEGER_ZERO_OR_POSITIVE,iE9HcswlSug,
AHD TB Xray Pos,SUM,INTEGER_ZERO_OR_POSITIVE,ce7sFjPqmUc,
AHD TF,SUM,INTEGER_ZERO_OR_POSITIVE,zbUB3CgzcJe,
AHD TF Assessed,SUM,INTEGER_ZERO_OR_POSITIVE,iWkA9MjFnmy,
AHD TF CD4,SUM,INTEGER_ZERO_OR_POSITIVE,m8GAHeJ6mw1,
AHD TF CD4 <200,SUM,INTEGER_ZERO_OR_POSITIVE,cHEMp67WNCu,
AHD TF Crypto Pos,SUM,INTEGER_ZERO_OR_POSITIVE,qyRNoNxckGZ,
AHD TF Crypto Screen,SUM,INTEGER_ZERO_OR_POSITIVE,NEpvw0PUVoR,
AHD TF Crypto Treatment,SUM,INTEGER_ZERO_OR_POSITIVE,XVZW1jSNjyD,
AHD TF Preemptive,SUM,INTEGER_ZERO_OR_POSITIVE,EgdXuce4AIY,
AHD TF Presumed TB,SUM,INTEGER_ZERO_OR_POSITIVE,xIactlWZWXu,
AHD TF Presumed TB Investigated,SUM,INTEGER_ZERO_OR_POSITIVE,cKHaJVAEgU6,
AHD TF Presumed TB Pos,SUM,INTEGER_ZERO_OR_POSITIVE,DgksKHPl0OO,
AHD TF Started TB Treatment,SUM,INTEGER_ZERO_OR_POSITIVE,GuVcTp6uQuv,
AHD TF TB Screen,SUM,INTEGER_ZERO_OR_POSITIVE,eAEQTFWE9OB,
AHD Toxo,SUM,INTEGER_ZERO_OR_POSITIVE,SODbX9yfsyK,
AHD Toxo Tx,SUM,INTEGER_ZERO_OR_POSITIVE,u7EPeOBI0FX,
AHD TXNew <200,SUM,INTEGER_ZERO_OR_POSITIVE,KF520qPRCJP,
AHD TXNew Assessed,SUM,INTEGER_ZERO_OR_POSITIVE,YsHrk3G4Die,
AHD TXNew baseline,SUM,INTEGER_ZERO_OR_POSITIVE,KWCcNXz0grO,
AHD TXNew Crypto Pos,SUM,INTEGER_ZERO_OR_POSITIVE,nYn9i0j4cC1,
AHD TXNew Crypto Screen,SUM,INTEGER_ZERO_OR_POSITIVE,e1bC1BaJKuw,
