id,type,name,displayName,shortName,code,description,search_text
iRVqbhkBqPB,Data Element,HCA Number LTFU 24m,HCA Number LTFU 24m,HCA Number LTFU 24m,,,hca number ltfu 24m | hca number ltfu 24m | hca number ltfu 24m |  | 
G5RBBv3eTRw,Data Element,HCA Outcomes -  Active but no PCR test/AB Test test done,HCA Outcomes -  Active but no PCR test/AB Test test done,HCA -  Active but no PCR test/AB Test test done,,HCA Outcomes -  Active but no PCR test/AB Test test done,hca outcomes -  active but no pcr test/ab test test done | hca outcomes -  active but no pcr test/ab test test done | hca -  active but no pcr test/ab test test done |  | hca outcomes -  active but no pcr test/ab test test done
TObQOnePy7N,Data Element,HCA Outcomes - Died between,HCA Outcomes - Died between,HCA - Died between,,HCA Outcomes - Died between,hca outcomes - died between | hca outcomes - died between | hca - died between |  | hca outcomes - died between
fMdYb7wdHNk,Data Element,HCA Outcomes -  Identified as positive ,HCA Outcomes -  Identified as positive ,HCA -  Identified as positive ,,HCA Outcomes -  Identified as positive,hca outcomes -  identified as positive  | hca outcomes -  identified as positive  | hca -  identified as positive  |  | hca outcomes -  identified as positive
CiNOrBOvahl,Data Element,HCA Outcomes - Lost to Follow Up ,HCA Outcomes - Lost to Follow Up ,HCA - Lost to Follow Up ,,HCA Outcomes - Lost to Follow Up,hca outcomes - lost to follow up  | hca outcomes - lost to follow up  | hca - lost to follow up  |  | hca outcomes - lost to follow up
jQld0tKGtZ2,Data Element,HCA Outcomes - Net cohort ,HCA Outcomes - Net cohort ,HCA Outcomes - Net cohort ,,HCA Outcomes - Net cohort,hca outcomes - net cohort  | hca outcomes - net cohort  | hca outcomes - net cohort  |  | hca outcomes - net cohort
DGHLzumX7nz,Data Element,HCA Outcomes - Number of HEI Enrolled in the cohort,HCA Outcomes - Number of HEI Enrolled in the cohort,HCA Outcomes - Number of HEI Enrolled,,HCA Outcomes - Number of HEI Enrolled in the cohort,hca outcomes - number of hei enrolled in the cohort | hca outcomes - number of hei enrolled in the cohort | hca outcomes - number of hei enrolled |  | hca outcomes - number of hei enrolled in the cohort
dxOJLkh6kmB,Data Element,HCA Outcomes -  PCR test/AB Test -  negative  result,HCA Outcomes -  PCR test/AB Test -  negative  result,HCA -  PCR test/AB Test -  negative  result,,HCA Outcomes -  PCR test/AB Test -  negative  result,hca outcomes -  pcr test/ab test -  negative  result | hca outcomes -  pcr test/ab test -  negative  result | hca -  pcr test/ab test -  negative  result |  | hca outcomes -  pcr test/ab test -  negative  result
P5rxJMBnkj1,Data Element,HCA Outcomes - Transferred out,HCA Outcomes - Transferred out,HCA - Transferred out,,HCA Outcomes - Transferred out,hca outcomes - transferred out | hca outcomes - transferred out | hca - transferred out |  | hca outcomes - transferred out
M0a8lNei2sX,Data Element,HCA PCR Collected 12m,HCA PCR Collected 12m,HCA PCR Collected 12m,,,hca pcr collected 12m | hca pcr collected 12m | hca pcr collected 12m |  | 
IEAWhzaNi2s,Data Element,HCA PCR or AB HAART 12m,HCA PCR or AB HAART 12m,HCA PCR or AB HAART 12m,,,hca pcr or ab haart 12m | hca pcr or ab haart 12m | hca pcr or ab haart 12m |  | 
JPK7wx9yCuW,Data Element,HCA PCR or AB HAART 24m,HCA PCR or AB HAART 24m,HCA PCR or AB HAART 24m,,,hca pcr or ab haart 24m | hca pcr or ab haart 24m | hca pcr or ab haart 24m |  | 
XDA87mFHz82,Data Element,HCA PCR or AB Positive 12m,HCA PCR or AB Positive 12m,HCA PCR or AB Positive 12m,,,hca pcr or ab positive 12m | hca pcr or ab positive 12m | hca pcr or ab positive 12m |  | 
RIDNmwWDje5,Data Element,HCA PCR or AB Positive 24m,HCA PCR or AB Positive 24m,HCA PCR or AB Positive 24m,,,hca pcr or ab positive 24m | hca pcr or ab positive 24m | hca pcr or ab positive 24m |  | 
zRgNuIKtfqm,Data Element,HCA Transfers Out 12m,HCA Transfers Out 12m,HCA Transfers Out 12m,,,hca transfers out 12m | hca transfers out 12m | hca transfers out 12m |  | 
j1L0GB5UWwa,Data Element,HCA Transfers Out 24m,HCA Transfers Out 24m,HCA Transfers Out 24m,,,hca transfers out 24m | hca transfers out 24m | hca transfers out 24m |  | 
AwA8Wf4FSLL,Data Element,HEPB clients Screened,HEPB clients Screened,HEPB clients Screened,,,hepb clients screened | hepb clients screened | hepb clients screened |  | 
kOc8juU5SmO,Data Element,HEPB Clients Seen,HEPB Clients Seen,HEPB Clients Seen,,,hepb clients seen | hepb clients seen | hepb clients seen |  | 
PXibF1nBPzO,Data Element,HEPB Number Positive,HEPB Number Positive,HEPB Number Positive,,,hepb number positive | hepb number positive | hepb number positive |  | 
EHcazfftP6M,Data Element,HEPB Number Referred for Treatment,HEPB Number Referred for Treatment,HEPB Number Referred for Treatment,,,hepb number referred for treatment | hepb number referred for treatment | hepb number referred for treatment |  | 
j3RtcPLKNT9,Data Element,HEPB Number Treated,HEPB Number Treated,HEPB Number Treated,,,hepb number treated | hepb number treated | hepb number treated |  | 
FLzMa5bONik,Data Element,HEPB Number vaccinated,HEPB Number vaccinated,HEPB Number vaccinated,,,hepb number vaccinated | hepb number vaccinated | hepb number vaccinated |  | 
bpPq5vF0NeL,Data Element,High Viremia Monitoring (All): Total TX_PVLS (N) _Repeat,High Viremia Monitoring (All): Total TX_PVLS (N) _Repeat,HVL Monitoring (All): Total TX_PVLS (N) _Repeat,,High Viremia Monitoring (All): Total TX_PVLS (N) _Repeat,high viremia monitoring (all): total tx_pvls (n) _repeat | high viremia monitoring (all): total tx_pvls (n) _repeat | hvl monitoring (all): total tx_pvls (n) _repeat |  | high viremia monitoring (all): total tx_pvls (n) _repeat
CQyTFJW83O9,Data Element,High Viremia Monitoring (All): TX_CURR_Unsuppressed,High Viremia Monitoring (All): TX_CURR_Unsuppressed,HVL Monitoring (All):TX_CURR_Unsuppressed,,High Viremia Monitoring (All): TX_CURR_Unsuppressed,high viremia monitoring (all): tx_curr_unsuppressed | high viremia monitoring (all): tx_curr_unsuppressed | hvl monitoring (all):tx_curr_unsuppressed |  | high viremia monitoring (all): tx_curr_unsuppressed
