hospital_id,hospital_name,level,path,observations,source_files
aVq6Jelz6BF,Ace Northern Hospital LTD,5,/HfVjCurKxh2/wsBsC6gjHvn/sr8WEz03EnP/FydnlJp81aR/aVq6Jelz6BF,0,
VsK11IQUWdd,Acef Ena Health Centre,5,/HfVjCurKxh2/PFu8alU2KWG/kMSLkN4nsRl/QpKvk4GkYRI/VsK11IQUWdd,0,
sf0vzy49LFo,Acela Community Clinic,5,/HfVjCurKxh2/u4t9H8XyU9P/JNvqpOnKfGR/EmooFdjzKlm/sf0vzy49LFo,0,
EiylrSqE0bO,Achego Community Health Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/EiylrSqE0bO,0,
Vv15qvksvuJ,Achuth,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/Vv15qvksvuJ,0,
u9IQ4Y8CN0P,Aciit Community Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/u9IQ4Y8CN0P,0,
xCScK4a0Zr3,Ack Leah Njoki,5,/HfVjCurKxh2/ahwTMNAJvrL/l46g2PZUjoh/H7KVdIvj4Sp/xCScK4a0Zr3,0,
RNp406vYYZV,Acode Medical Clinic Maungu,5,/HfVjCurKxh2/QyGNX2DpR4h/yoGLpCTgjed/mvDV6e04X7a/RNp406vYYZV,0,
wMWJQWX9XGJ,Action Ministry Clinic,5,/HfVjCurKxh2/N7YETT3A9r1/ADMywdLwoRX/VGENlt3MTt7/wMWJQWX9XGJ,0,
M4hBq6jXYVg,Adadijolle Dispensary,5,/HfVjCurKxh2/CeLsrJOH0g9/qsjAa8FE8OS/hp28cyo1lbf/M4hBq6jXYVg,0,
BD4J2ddmmlc,Adanya,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/BD4J2ddmmlc,0,
rdvu0VThvPb,Adc Danisa Dispensary,5,/HfVjCurKxh2/nrI2khZx3d0/KMWrMZrlO5u/EO3kbx8nZIp/rdvu0VThvPb,0,
H6ZB7kS5kBu,Adel Medical Clinic-,5,/HfVjCurKxh2/nrI2khZx3d0/xWAZBULwGxp/Z6pxPuARGdF/H6ZB7kS5kBu,0,
IKFPzs88xzi,Adel Medical Clinic-,5,/HfVjCurKxh2/nrI2khZx3d0/xWAZBULwGxp/Z6pxPuARGdF/IKFPzs88xzi,0,
KuXhKaPkpJn,Adel Medical Clinic-,5,/HfVjCurKxh2/nrI2khZx3d0/xWAZBULwGxp/Z6pxPuARGdF/KuXhKaPkpJn,0,
LvlU4n2bOKU,Adel Medical Clinic-,5,/HfVjCurKxh2/nrI2khZx3d0/xWAZBULwGxp/Z6pxPuARGdF/LvlU4n2bOKU,0,
Ty3DipY6YXp,Adel Medical Clinic-,5,/HfVjCurKxh2/nrI2khZx3d0/xWAZBULwGxp/Z6pxPuARGdF/Ty3DipY6YXp,0,
bsMAZG875TR,Adel Medical Clinic-,5,/HfVjCurKxh2/nrI2khZx3d0/xWAZBULwGxp/Z6pxPuARGdF/bsMAZG875TR,0,
