County,Owner type,Owner,Name,Service Type,Year,Sum of Value
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,IPD,2025,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,IPD,2026,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,OPD,2022,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,OPD,2023,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,OPD,2024,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,OPD,2025,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,OPD,2026,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,IPD,2022,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,IPD,2023,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,IPD,2024,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,IPD,2025,186
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,IPD,2026,536
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,MCH_CWC,2024,72
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,MCH_CWC,2025,190
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,MCH_CWC,2026,391
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,OPD,2022,17736
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,OPD,2023,12468
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,OPD,2024,12069
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,OPD,2025,8094
West Pokot,Private Practice,Private Practice - Medical Specialist,Namuya Shalom Medical Services,OPD,2026,4449
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,IPD,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,IPD,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,IPD,2024,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,IPD,2025,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,IPD,2026,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,OPD,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,OPD,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,OPD,2024,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,OPD,2025,0
West Pokot,Private Practice,Private Practice - General Practitioner,Moonlight Dental Clinic,OPD,2026,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,IPD,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,IPD,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,IPD,2024,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,IPD,2025,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,IPD,2026,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,OPD,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,OPD,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,OPD,2024,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,OPD,2025,0
West Pokot,Private Practice,Private Practice - General Practitioner,Loikan Dental Clinic,OPD,2026,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,IPD,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,IPD,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,IPD,2024,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,IPD,2025,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,IPD,2026,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,MCH_CWC,2024,0
