Facility Name,Category,Region,County,Beds,Status
Magwagwa (SDA) Dispensary,Dispensary,South Rift Nyanza,Nyamira,0,
Magenka Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Machwele Dispensary,Dispensary,Western North Rift,Bungoma,0,
Loltulelei Friends Dispensary,Dispensary,Eastern Northeastern,Samburu,0,
Logologo AIC Dispensary,Dispensary,Eastern Northeastern,Marsabit,0,
Loglogo Health Centre,Health Centre,,,0,
Living Room International,Hospital,Western North Rift,Uasin Gishu,0,
Live With Hope,Dispensary,South Rift Nyanza,Kericho,0,
Lirhanda Mission Health Centre,Health Centre,Western North Rift,Kakamega,0,
Lions Ngoswani Community Maternity and Child Hospital,Clinic / Medical Centre,Nairobi Central SE Coast,Narok,0,
Light House for Christ Hospital,Hospital,Nairobi Central SE Coast,Mombasa,0,
LIGHT HOUSE FOR CHRIST EYE CENTRE,Clinic / Medical Centre,Nairobi Central SE Coast,Mombasa,0,
Life Care Ministry Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Kiambu,0,
Life Care Ministries Clinic,Clinic / Medical Centre,,,0,
Lavington United Church Urafiki Disp.,Health Centre,Nairobi Central SE Coast,Nairobi,0,
Lankia (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Kiambu,0,
Langas RCEA Health Center,Health Centre,Western North Rift,Uasin Gishu,0,
LANGAS RACECOURSE NURSING HOME,Clinic / Medical Centre,Western North Rift,Uasin Gishu,0,
Kyumbe Dispensary,Dispensary,Eastern Northeastern,Makueni,0,
Kyome AIC Dispensary,Dispensary,Eastern Northeastern,Kitui,0,
KOPANGA METHODIST DISPENSARY,Dispensary,South Rift Nyanza,Migori,0,
Kopanga Dispensary,Dispensary,South Rift Nyanza,Migori,0,
Komolion Dispensary,Dispensary,,,0,
Koloch Mission Dispensary,Dispensary,Western North Rift,Nandi,0,
KOLANYA SALVATION ARMY HEALTH CENTRE,Health Centre,Western North Rift,Busia,0,
Kolanya Health Centre (Salvation Army),Health Centre,Western North Rift,Busia,0,
Kokwototo Dispensary,Dispensary,,,0,
Kiu AIC Dispensary,Dispensary,Eastern Northeastern,Makueni,0,
Kitundu SDA Dispensary,Dispensary,Eastern Northeastern,Makueni,0,
KITUNDU ADVENTIST HEALTH CENTER,Health Centre,Eastern Northeastern,Makueni,0,
Kiserian Dispensary,Dispensary,Nairobi Central SE Coast,Kajiado,0,
Kirogine Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Kiriribu dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Kirinton Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Kirigi Dispensary,Dispensary,Eastern Northeastern,Embu,0,
Kiriani dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Kipsitet Baptist Dispensary,Dispensary,South Rift Nyanza,Kericho,0,
Kipsigon Health Centre,Health Centre,Western North Rift,Bungoma,0,
Kiplombe Dispensary,Dispensary,,,0,
Kinyona Dispensary,Dispensary,,,0,
Kings Medical Clinic,Clinic / Medical Centre,,,0,
Kimunyu (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Kiambu,0,
Kimng'oror Health Centre,Health Centre,Western North Rift,Nandi,0,
Kimende Orthodox Mission Health Centre,Health Centre,Nairobi Central SE Coast,Kiambu,0,
Kimangaru Methodist Dispensary,Dispensary,Eastern Northeastern,Embu,0,
Kima Mission Hospital,Hospital,Western North Rift,Vihiga,0,
Kiligoris COG Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Kikuyu (PCEA) Hospital,Hospital,Nairobi Central SE Coast,Kiambu,0,
Kijabe (AIC) Hospital Marira Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Kiambu,0,
Kijabe (AIC) Hospital,Hospital,Nairobi Central SE Coast,Kiambu,0,
KIHUMBU-INI PCEA CHURCH CLINIC,Dispensary,Nairobi Central SE Coast,Murang'a,0,
Kihumbu-ini Dispensary,Dispensary,Nairobi Central SE Coast,Murang'a,0,
Kigumo Dispensary,Dispensary,Eastern Northeastern,Embu,0,
Kigogo EAPC Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Kiereni Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Kieni Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Kichaka Simba Dispensary,Dispensary,Nairobi Central SE Coast,Kwale,0,
Kibini Hill (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Kajiado,0,
Kibera Chemi Chemi Ya Uzima Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
Kiaruhiu (PCEA) Health Centre,Health Centre,Nairobi Central SE Coast,Nyeri,0,
Kianjokoma Trinity Health Centre,Health Centre,Eastern Northeastern,Embu,0,
Kiang'ondu Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Kiandegwa (Methodist Church of Kenya) Dispensary,Dispensary,Nairobi Central SE Coast,Kirinyaga,0,
Kiamuriuki Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Kiamiriru Methodist Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Kiamagunyi (ACK) Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Kirinyaga,0,
Kiairugu Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
KEYIAN SDA MEDICAL CENTRE,Clinic / Medical Centre,Nairobi Central SE Coast,Narok,0,
Keyian Medical Center,Clinic / Medical Centre,Nairobi Central SE Coast,Narok,0,
Kerudo Mobile Clinic,Clinic / Medical Centre,,,0,
Kenya Methodist University H/C,Health Centre,Eastern Northeastern,Meru,0,
