Facility_ID,Facility_Name
LGPVNsrp6og,Amani Medical Clinic (Kilifi)
e9NLyDiExlF,Amani Medical Clinic (Magumu)
JqaO2Ru1d9c,Amani Medical Clinic (Malindi)
t2h5jp8oKBP,Amani Medical Clinic (Meru)
xuVsQTby6uM,Amani Medical Clinic (Murungaru)
cra9LqUeXH4,Amani Medical Clinic (Nyeri North)
vPzG8Lfh5qK,Amani Medical Clinic Murungaru
Veij98lqTc6,Amani VCT
R6OvNgtymXw,Amatierio Health Centre
c4thxixbXSm,Amazing Grace Medical Clinic
OnylZKTi1ix,Amazing Grace Medical Clinic
EdpD07uWAYi,Amazon clinic
WjJiEMdYE7g,Ambaaru Medical Clinic
Ds9yWgEiDy3,Ambalo Dispensary
iAjhCmDER2e,Ambassadors for Sustained Health Centre
QRZj3gcahYE,Ambira Sub-County Hospital
ytjxq5xExda,Amboni Dispensary
HzKPLEISiy4,Amboseli Dispensary
lzqEuB4Uo5M,Amboseli Serena Lodge Clinic
dpwNTEvxfsn,Amina Community Hospital Centre
pKDiUn9mvpw,Amina Medical Clinic
k1YOWc5WbJP,Amity Family Medical Clinic
BvWSGZqHVMe,Amka Health Project
Kg0LgIbyPZk,Amkeni DIC (Shella)
OWCVFvRnh9q,Ammusait General Hospital
eX0spkg9csY,Among'ura Community Dispensary
dzlUVt1ajq1,Amoyo Dispensary
PlMwKw1d0cC,Amoyo Healthcare Medical Clinic
FNqOhEDkaQU,Amref Medical Centre (Wilson Airport)
iApBYCXhGg6,Amsan Children Hospital
KXYla3Hx32Y,Amstong Medical Clinic
tZXNm0Rsz9p,Amugaa Health Centre
L9EJeHLBG1b,Amukura Health Centre
zVNsz4bH1Yw,Amukura Mission Health Centre
FsnJ5V1XM13,Amuma Dispensary
gQeEbhqx7i0,Amuma Mobile Dispensary
JodjtJQsd8q,Amungeti Catholic Dispensary
OTXmDjTx5ZU,Amurt Health Care Centre
ps5w3QhjIM7,Amurt Health Centre
b0aLkuteIbm,Amurt Health Centre (Likoni)
UgtX1mMDFmQ,Amwamba Dispensary
Y1JhATjp4PC,Anama Medical Clinic
MHLswr1Q2ax,Ancilla Catholic Dispensary
mUuN9KBJzns,Anderi Dispensary
c5gNJhUz9rg,Andersen Medical Centre
lfs5qignpT4,Anding'o Opanga Dispensary
HoujtRSjuJg,Andingo Rongo
vYCKec6znuh,Andiwo Dispensary
FBI3vAGf47E,Andulus Medical Clinic
ZjLUO5whjGS,Aneko Dispensary
aKNiFGe9Fjp,Anfaal Health Care
BD96o9Jyhei,Ang'Ura East Ward
pREWHe7zQ9w,Ang'Urai North Ward
m7VVNB6yflG,Ang'iya Dispensary
dWATcMI6XJL,Angaga Dispensary
VRRLwQpnKfY,Angata Health Centre
aOcXhIAdIu9,Angata Nanyokie Dispensary
aB9JllbovUY,Angata Rongai Dispensary
TFLMO3MTOsx,Angaza VCT
GjSXsLMmOUs,Angelic Medical Centre
zGe1oCKpJAb,Angels Medical Services
coyUtkdrVT6,Angilu Med Clinic
x0kcyZYsS7A,Angogo dispensary
LdOHCxKsiqK,Angola Community Dispensary
allzILkIelH,Angurai Health Centre
YE6EKKlQi7U,Anin Dispensary
xaQ9Z2jrxRM,Anjego Dispensary
wO5IHSAzV23,Anka Hospital
UzMuDRtMpXE,Ankamia Dispensary
p3x42STsO8R,Ankara Medical Centre
D1pdFGebAX1,Anmer Dispensary
pS1WaEiYSgc,Annet Dispensary
tRzi2sxi9o5,Annex Clinic (Kenyenya)
uaV4lC1qLIt,Annex GK Prisons Dispensary
ETYKLHaZtuG,Annex Hospital (Nakuru)
jKqKfu6vPPI,Annex Laboratory
XgC2lWgKP1h,Annex Medical Clinic
CdRTEels9nA,Annex Medical Clinic (Muranga North)
DFWkLO16YWQ,Annex Nucleaur Medical Diagnostic Center (Mbiri)
TNNJbLh7DvS,Annex loc.Medical clinic
rmz1Vep9PBa,Annie Hospital
AsxnB2iUf3c,Annointed Hands Clinic
Sb0xwuOdMx1,Annointed Medical Clinic
KP9lxsIzGeD,Annunciation Catholic Dispensary
w7iTHNs5jcu,Anole Dispensary
KIZzTqwxVoY,Anona Dispensary
L6D3rAx4UAC,Ansar Medical Clinic
e5oELKNgnqB,Antaliya Hospital
